,location,latitude,longitude,bus,long_bus,lat_bus,capacity ,capacity,hourly production,total production,pnom
0,Bous,52.2109,8.050028,4740,8.144989,52.254709,0.35,0.35,39.95433789954338,6712.328767123288,66.84540525114156
1,Brandenburg,52.4036788,12.50167925,5699,12.941895,52.56216,1.8,1.8,205.4794520547945,34520.54794520548,343.77636986301366
2,Freital,50.91138302,8.046011014,4775,8.057098,50.883976,0.09,0.09,10.273972602739727,1726.0273972602743,17.188818493150684
3,Georgsmarienhutte,52.21205056,8.041805234,4740,8.144989,52.254709,1.1,1.1,125.57077625570776,21095.890410958902,210.08555936073057
4,Groditz,51.40235824,13.43029797,4577,13.447266,51.299711,0.1,0.1,11.415525114155251,1917.8082191780823,19.09868721461187
5,Hamburg,53.52488202,9.900831948,5880,9.882202,53.443899,1.1,1.1,125.57077625570776,21095.890410958902,210.08555936073057
6,Hennigsdorf,52.6490988,13.21018025,5701,13.212433,52.581357,1.0,1.0,114.15525114155251,19178.08219178082,190.98687214611869
7,Herbertshofen,48.51328839,10.85291729,3799,10.829773,48.62837,1.18,1.18,134.70319634703196,22630.136986301368,225.36450913242004
8,Kehl,48.60031059,7.823290287,3571,7.877197,48.499318,2.5,2.5,285.38812785388126,47945.20547945205,477.4671803652967
9,Lingen,52.46877715,7.316160272,4723,7.267456,52.464377,0.62,0.62,70.77625570776256,11890.410958904109,118.41186073059359
10,Peine,52.31321474,10.24801969,4888,10.299683,52.286643,1.0,1.0,114.15525114155251,19178.08219178082,190.98687214611869
11,Riesa,51.31348782,13.28090027,4577,13.447266,51.299711,0.9,0.9,102.73972602739725,17260.27397260274,171.88818493150683
12,Siegen,50.90917145,8.0357681,4775,8.057098,50.883976,0.15,0.15,17.123287671232877,2876.7123287671234,28.648030821917807
13,Siegen2,50.92212057,8.026143906,4775,8.057098,50.883976,0.6,0.6,68.4931506849315,11506.849315068494,114.59212328767123
14,Unterwellenborn,50.65539329,11.45025623,4584,11.722412,50.582365,1.1,1.1,125.57077625570776,21095.890410958902,210.08555936073057
15,Volklingen,49.25340208,6.855159471,7888,6.843392109,49.34986435,0.3,0.3,34.24657534246575,5753.424657534247,57.296061643835614
16,Wetzlar,50.57299473,8.486861198,4901,8.484192,50.66252,0.4,0.4,45.662100456621005,7671.232876712329,76.39474885844749
17,Witten,51.43416923,7.330547678,4763,7.396545,51.427471,0.48,0.48,54.794520547945204,9205.479452054795,91.67369863013698
